Category,Relation,Variant,Scale Axis,Batch Size,Network,Trace Length,Dataset Size,Merkle Depth,Aggregation T,Proof Backed,Status,Prove Time (s),Verify Time (s),Proof Size (bytes),Cycle Count,Prover Gas,Peak RSS (MB),Max RSS (MB),Prover,Measurement Host,Backend Version,SP1 Version,Git Commit,Case ID,Public Inputs SHA256,Witness Schema SHA256,Metrics Source,Notes
aggregation,training_aggregation_manifest_t64,proof_manifest_chain,aggregation_t,,tiny,,,,64,True,proof_verified,1.8180899369999999,0.125173453,2804079,1507947,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,training_aggregation_manifest_t64,fcebb021586c586fc0a5f0da037abd12f9f8b92bf49cd10f48dbb515911c0191,2f794ea156fde6317254b1f7915cf423db07e978b14f65d4e7f006b27e9c9f7f,artifacts/reports/provenance/sp1/training_aggregation_t64/metrics.json,SP1 proof-backed proof-manifest chunk-chain aggregation; child proof cryptography is not recursively verified inside SP1.; proof-manifest-chain; does not recursively verify child proofs inside SP1; peak RSS unavailable in reused compact provenance
aggregation,training_aggregation_manifest_t128,proof_manifest_chain,aggregation_t,,tiny,,,,128,True,proof_verified,2.570160927,0.126414505,2819656,2758625,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,training_aggregation_manifest_t128,492bcd857228456f28470ed7979198403bb01bc9d304e52c4238eb2eab4d7410,2f794ea156fde6317254b1f7915cf423db07e978b14f65d4e7f006b27e9c9f7f,artifacts/reports/provenance/sp1/training_aggregation_t128/metrics.json,SP1 proof-backed proof-manifest chunk-chain aggregation; child proof cryptography is not recursively verified inside SP1.; proof-manifest-chain; does not recursively verify child proofs inside SP1; peak RSS unavailable in reused compact provenance
core,training_fragment,cartpole_expert,committed_dataset,1,"[4, 64, 2]",,,,,True,proof_verified,3.099297747,0.128705393,2829015,4042983,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,training_fragment_cartpole_expert_k1,9f35b4c25357ea106931d058f045bec6abc622f28f79f297970c1c71e6248dd5,9bdbd86c059fa0cfa98de3e57132842bce6a5994a3d0cccaeba25546770f821c,artifacts/reports/provenance/sp1/training_fragment_cartpole_expert_k1/metrics.json,"SP1 proof-backed multi-step training fragment for a canonical tiny MLP vector; not full DQN training, Adam, all replay batches, or recursive aggregation.; dataset_root equals the committed cartpole-expert-v2 merkle_root; peak RSS unavailable in reused compact provenance"
core,training_fragment,lunarlander_expert,committed_dataset,1,"[8, 64, 4]",,,,,True,proof_verified,4.18296746,0.12961467,2849714,5745368,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,training_fragment_lunarlander_expert_k1,2d1d1d7964cd9c6a3f798cfe20c2c924695781b732415004ba1a2e2f9dd8088e,9bdbd86c059fa0cfa98de3e57132842bce6a5994a3d0cccaeba25546770f821c,artifacts/reports/provenance/sp1/training_fragment_lunarlander_expert_k1/metrics.json,"SP1 proof-backed multi-step training fragment for a canonical tiny MLP vector; not full DQN training, Adam, all replay batches, or recursive aggregation.; dataset_root equals the committed lunarlander-expert-v1 merkle_root; peak RSS unavailable in reused compact provenance"
trace_scaling,training_fragment_k16,k16,trace_length,,,16,,,,False,execute_only,,,,,,,,,,,,,training_fragment_k16_execute_only,,,,reference/execute-mode only in current backend; no proof metrics claimed
trace_scaling,training_fragment_k32,k32,trace_length,,,32,,,,False,execute_only,,,,,,,,,,,,,training_fragment_k32_execute_only,,,,reference/execute-mode only in current backend; no proof metrics claimed
trace_scaling,training_fragment_k128,k128,trace_length,,,128,,,,False,execute_only,,,,,,,,,,,,,training_fragment_k128_execute_only,,,,reference/execute-mode only in current backend; no proof metrics claimed
batch_scaling,training_update,batch4,batch_size,4,tiny,,,,,False,not_supported_current_backend,,,,,,,,,,,,,training_update_batch4,,,,current Phase 5 training_update SP1 backend is canonical batch-size-1 only
batch_scaling,training_update,batch8,batch_size,8,tiny,,,,,False,not_supported_current_backend,,,,,,,,,,,,,training_update_batch8,,,,current Phase 5 training_update SP1 backend is canonical batch-size-1 only
batch_scaling,training_update,batch16,batch_size,16,tiny,,,,,False,not_supported_current_backend,,,,,,,,,,,,,training_update_batch16,,,,current Phase 5 training_update SP1 backend is canonical batch-size-1 only
